,links,link_text
0,"Link(url='https://www.google.com/?sa=X&ved=0ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QOwgC', text='Google', fragment='', nofollow=False)",Google
1,"Link(url='https://www.google.com/?output=search&ie=UTF-8&sa=X&ved=0ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QPAgE', text='Google', fragment='', nofollow=False)",Google
2,"Link(url='https://www.google.com/search?q=santa+cruz+soup+kitchens+and+free+meals&ie=UTF-8&gbv=1&sei=j8IMYayeI4az0PEPv8KB-Ak', text='here', fragment='', nofollow=False)",here
3,"Link(url='https://maps.google.com/maps?q=santa+cruz+soup+kitchens+and+free+meals&um=1&ie=UTF-8&sa=X&ved=0ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8Q_AUICSgC', text='Maps', fragment='', nofollow=False)",Maps
4,"Link(url='https://www.google.com/advanced_search', text='Search tools', fragment='', nofollow=False)",Search tools
5,"Link(url='https://www.google.com/search?ie=UTF-8&q=The+Salvation+Army+Santa+Cruz+Corps+Community+Center+Santa+Cruz,+CA&ludocid=15916973063974084724&gsas=1&ibp=gwp;0,7&lsig=AB86z5V7bLaxoL9JXE2eVyeVzXYL&sa=X&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QvS4wAXoECAwQBw', text='The Salvation Army Santa Cruz Corps Community Center 4.9  (16)  · $Food products supplier · 721 Laurel St', fragment='', nofollow=False)",The Salvation Army Santa Cruz Corps Community Center 4.9  (16)  · $Food products supplier · 721 Laurel St
6,"Link(url='https://www.google.com/url?q=https://www.homelessshelterdirectory.org/foodbanks/city/ca-santa_cruz.html&sa=U&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QFnoECAoQAQ&usg=AOvVaw2fr-OOD-_jNjQqBy83XOAg', text='Santa Cruz Emergency Food Pantries, Soup Kitchens - Santa Cruz ...www.homelessshelterdirectory.org › foodbanks › city › ca-santa_cruz', fragment='', nofollow=False)","Santa Cruz Emergency Food Pantries, Soup Kitchens - Santa Cruz ...www.homelessshelterdirectory.org › foodbanks › city › ca-santa_cruz"
7,"Link(url='https://www.google.com/url?q=https://www.thefoodbank.org/&sa=U&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QFnoECAYQAQ&usg=AOvVaw12h_vFh8SOxqeHSkQYhYyC', text='Second Harvest Food Bank Santa Cruz County -- Working Together ...www.thefoodbank.org', fragment='', nofollow=False)",Second Harvest Food Bank Santa Cruz County -- Working Together ...www.thefoodbank.org
8,"Link(url='https://www.google.com/url?q=https://stfrancissoupkitchen.org/soup-kitchen/&sa=U&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QFnoECAUQAQ&usg=AOvVaw3mHsYzPiGyVZaEII904jRb', text='St. Francis Soup Kitchen - Santa Cruz - St. Francis Catholic Kitchenstfrancissoupkitchen.org › soup-kitchen', fragment='', nofollow=False)",St. Francis Soup Kitchen - Santa Cruz - St. Francis Catholic Kitchenstfrancissoupkitchen.org › soup-kitchen
9,"Link(url='https://www.google.com/url?q=https://www.foodpantries.org/ci/ca-santa_cruz&sa=U&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QFnoECAkQAQ&usg=AOvVaw3pSSKPCFTw514uAqEaRa5l', text='Santa Cruz CA Food Pantrieswww.foodpantries.org › California', fragment='', nofollow=False)",Santa Cruz CA Food Pantrieswww.foodpantries.org › California
10,"Link(url='https://www.google.com/url?q=https://www.oblito.com/santa_cruz/ca/food/help.php&sa=U&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QFnoECAEQAQ&usg=AOvVaw0_qoOZhni_ZcmvevSU1Zrj', text='Food Pantries & Soup Kitchens Near Santa Cruz, CA - Oblito.comwww.oblito.com › santa_cruz › food › help', fragment='', nofollow=False)","Food Pantries & Soup Kitchens Near Santa Cruz, CA - Oblito.comwww.oblito.com › santa_cruz › food › help"
11,"Link(url='https://www.google.com/url?q=http://www.santacruzhealth.org/Portals/7/Pdfs/HPHP/HPHPCommunityMealSchedule.pdf&sa=U&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QFnoECAMQAQ&usg=AOvVaw108Fr8bRVHsSZKSbqd1CE7', text='[PDF] Community Meal Schedule - subject to change ... - Santa Cruz Healthwww.santacruzhealth.org › Portals › Pdfs › HPHP › HPHPCommunity...', fragment='', nofollow=False)",[PDF] Community Meal Schedule - subject to change ... - Santa Cruz Healthwww.santacruzhealth.org › Portals › Pdfs › HPHP › HPHPCommunity...
12,"Link(url='https://www.google.com/url?q=https://www.scvolunteernow.org/opportunity/a0C2I00000YNUKdUAP&sa=U&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QFnoECAAQAQ&usg=AOvVaw13-k-7cqHidpRm_UitI-Bg', text='Help Feed Hungry People ... - Volunteer Center of Santa Cruz Countywww.scvolunteernow.org › opportunity', fragment='', nofollow=False)",Help Feed Hungry People ... - Volunteer Center of Santa Cruz Countywww.scvolunteernow.org › opportunity
13,"Link(url='https://www.google.com/search?ie=UTF-8&q=santa+cruz+soup+kitchens+and+%22free%22+meals&sa=X&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8Q5t4CegQIABAE', text='free', fragment='', nofollow=False)",free
14,"Link(url='https://www.google.com/url?q=https://dpw.co.santa-cruz.ca.us/Home/RecyclingTrash/Composting/BusinessComposting/FoodDonationOpportunities.aspx&sa=U&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QFnoECAIQAQ&usg=AOvVaw12XAXGFmAc2yCsg9Cmakoj', text='Food Donation Opportunities - Santa Cruz Countydpw.co.santa-cruz.ca.us › Home › Composting › BusinessComposting › Fo...', fragment='', nofollow=False)",Food Donation Opportunities - Santa Cruz Countydpw.co.santa-cruz.ca.us › Home › Composting › BusinessComposting › Fo...
15,"Link(url='https://www.google.com/url?q=https://www.freefood.org/c/ca-santa_cruz&sa=U&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8QFnoECAgQAQ&usg=AOvVaw3BLHWea8h61Pui1oPoxQky', text='Top Free Food Resources in Santa Cruz, CA - Food Pantries, Food ...www.freefood.org › California', fragment='', nofollow=False)","Top Free Food Resources in Santa Cruz, CA - Food Pantries, Food ...www.freefood.org › California"
16,"Link(url='https://www.google.com/search?ie=UTF-8&q=Where+to+get+free+food+in+Santa+Cruz&sa=X&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8Q1QIwF3oECAQQBA', text='Where to get free food in Santa Cruz', fragment='', nofollow=False)",Where to get free food in Santa Cruz
17,"Link(url='https://www.google.com/search?ie=UTF-8&q=Food+distribution+Santa+Cruz&sa=X&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8Q1QIwG3oECAQQDA', text='Food distribution Santa Cruz', fragment='', nofollow=False)",Food distribution Santa Cruz
18,"Link(url='https://www.google.com/search?ie=UTF-8&q=Food+Bank+schedule&sa=X&ved=2ahUKEwjsoY2ez5vyAhWGGTQIHT9hAJ8Q1QIwHHoECAQQDg', text='Food Bank schedule', fragment='', nofollow=False)",Food Bank schedule
