,links,link_text
0,"Link(url='https://www.google.com/?sa=X&ved=0ahUKEwj2gcmX_Z3yAhUKv54KHU_OA6AQOwgC', text='Google', fragment='', nofollow=False)",Google
1,"Link(url='https://www.google.com/?sa=X&output=search&ie=UTF-8&ved=0ahUKEwj2gcmX_Z3yAhUKv54KHU_OA6AQPAgE', text='Google', fragment='', nofollow=False)",Google
2,"Link(url='https://www.google.com/search?q=santa+cruz+soup+kitchens+and+free+meals&sa=X&ie=UTF-8&gbv=1&sei=Lf8NYba3F4r--gTPnI-ACg', text='here', fragment='', nofollow=False)",here
3,"Link(url='https://maps.google.com/maps?q=santa+cruz+soup+kitchens+and+free+meals&rlst=f&um=1&ie=UTF-8&sa=X&ved=0ahUKEwj2gcmX_Z3yAhUKv54KHU_OA6AQ_AUICSgC', text='Maps', fragment='', nofollow=False)",Maps
4,"Link(url='https://www.google.com/advanced_search', text='Search tools', fragment='', nofollow=False)",Search tools
5,"Link(url='https://www.google.com/search?sa=X&ie=UTF-8&q=The+Salvation+Army+Santa+Cruz+Corps+Community+Center+Santa+Cruz,+CA&ludocid=15916973063974084724&gsas=1&ibp=gwp;0,7&lsig=AB86z5V7bLaxoL9JXE2eVyeVzXYL&ved=2ahUKEwj2gcmX_Z3yAhUKv54KHU_OA6AQvS4wAXoECAAQBw', text='The Salvation Army Santa Cruz Corps Community Center 4.9  (16)  · $Food products supplier · 721 Laurel StClosed ⋅ Opens 11AM Sun', fragment='', nofollow=False)",The Salvation Army Santa Cruz Corps Community Center 4.9  (16)  · $Food products supplier · 721 Laurel StClosed ⋅ Opens 11AM Sun
6,"Link(url='https://www.google.com/search?sa=X&ie=UTF-8&q=Camp+Santa+Cruz+Santa+Cruz,+CA&ludocid=16971295452331495896&gsas=1&ibp=gwp;0,7&lsig=AB86z5WxKAV1tMpbriQWmm1Siugg&ved=2ahUKEwj2gcmX_Z3yAhUKv54KHU_OA6AQvS4wBXoECAAQEw', text='Camp Santa Cruz 3.3  (3) Religious destination · 631 26th AveClosed ⋅ Opens 9AM Mon', fragment='', nofollow=False)",Camp Santa Cruz 3.3  (3) Religious destination · 631 26th AveClosed ⋅ Opens 9AM Mon
7,"Link(url='https://www.google.com/search?sa=X&ie=UTF-8&q=Meals+on+Wheels+for+Santa+Cruz+County+Santa+Cruz,+CA&ludocid=4768479143199651426&gsas=1&ibp=gwp;0,7&lsig=AB86z5UzroXMGI3jOH9r08TO52H3&phdesc=SLOnKUMiVYQ&ved=2ahUKEwj2gcmX_Z3yAhUKv54KHU_OA6AQvS4wEnoECAAQOg', text='Meals on Wheels for Santa Cruz County 5.0  (6) Non-profit organization · 1777 Capitola RdClosed ⋅ Opens 9AM Mon', fragment='', nofollow=False)",Meals on Wheels for Santa Cruz County 5.0  (6) Non-profit organization · 1777 Capitola RdClosed ⋅ Opens 9AM Mon
8,"Link(url='https://www.google.com/search?q=santa+cruz+soup+kitchens+and+free+meals&ie=UTF-8&ei=Lf8NYba3F4r--gTPnI-ACg&start=10&sa=N&rlst=f', text='Next >', fragment='', nofollow=False)",Next >
9,"Link(url='https://www.google.com/preferences?hl=en&fg=1&sa=X&ved=0ahUKEwj2gcmX_Z3yAhUKv54KHU_OA6AQ5fUCCFk', text='Settings', fragment='', nofollow=False)",Settings
10,"Link(url='https://policies.google.com/privacy?hl=en&fg=1', text='Privacy', fragment='', nofollow=False)",Privacy
11,"Link(url='https://policies.google.com/terms?hl=en&fg=1', text='Terms', fragment='', nofollow=False)",Terms
